headline,label
persimmon shares nudge higher as housebuilder sees strong 2014,positive
morrisons store closures: 900 jobs to go as 11 branches are closed due to,negative
astrazeneca teams with daiichi sankyo to sell movantik in us,positive
standard chartered ceo peter sands to resign after unrest at bank,negative
direct line rings up higher profit,positive
sainsbury chief warns of squeeze on high street retailers,negative
valeant ceo pledges to heed critics after painful experience,negative
update 3 bp settles oil spill related claims with halliburton transocean,negative
diageo heineken exchange emerging market brewing assets,positive
dixons carphone profit boost on strong sales,positive
shell seeks to remove greenpeace activists from oil rig,negative
ab inbev holds talks with regulators about california deals,negative
glencore shares enjoy bounce back after hong kong led surge,positive
standard chartered misses estimates in sands s last results,negative
itv acquires poldark production company mammoth screen,positive
astrazeneca to buy zs pharma for $2 7 billion,positive
four former barclays bankers jailed over libor,negative
astrazeneca s good deal turns bad,negative
us urges final approval of $20 billion bp oil spill pact,negative
update 1 norway s statoil shakes up top management replaces cfo,negative
companiesmorrison evicted from ftse 100 as worldpay joins,negative
l&g still paying price for dividend cut during crisis chief says,negative
3g capital warren buffett s favorite partner in deals worth billions,positive
fda panel backs glaxo asthma drug for adults not adolescents,positive
royal mail chairman donald brydon set to step down,negative
should you buy jumbo yielders british american tobacco plc centrica plc & john wood group plc,positive
update 1 petrofac posts net loss hurt by shetland islands project costs,negative
clinigen chosen by astrazeneca to manage access programme for next,positive
gsk and novartis complete deals to reshape both drugmakers,positive
sse cuts gas prices by 4 1 to become fifth of big six providers to slash energy,negative
breakingviews: iag can pay more for aer lingus,positive
update 1 bg group s record output limits oil price fallout,positive
standard life slips as greek worries peg back britain s ftse,negative
militants fire rockets at algerian bp statoil gas plant no casualties,negative
severn trent share price jumps as canadian investor renews pursuit of utility,positive
we d support hsbc leaving london says standard life,positive
failure of leadership behind tesco troubles says former ceo leahy,negative
rbi surprises street; sensex pares gains after hitting mount 30k,positive
update 1 rbs raising $3 1 billion through issue of coco bonds,positive
us stocks wall st rises on berkshire deal china stimulus hopes,positive
berkshire seeks to boost its wells fargo stake above 10 percent,positive
ftse slide halted by bp s â£12bn us settlement london report,negative
bidders abandon auction of tesco data unit,negative
warren buffett s awesome feat at berkshire hathaway revisited,positive
bp chairman defends ceo bob dudley s pay increase,positive
asahi could be about to snap up more of sabmiller s beers ahead of ab inbev sale,positive
astrazeneca shares climb 3 as drug maker ups profits forecasts,positive
insight hires aviva s david hillier for multi asset team,positive
lloyds sells irish loan portfolio for â£827m,positive
sharm el sheikh: easyjet axes all flights to egypt s leading holiday resort,negative
uk regulators license bat e cigarette as quit smoking medicine,positive
glencore sells $2 5 billion stake in agriculture unit,positive
centrica urges policy overhaul as it warns of looming gap in uk energy supplies,negative
glaxosmithkline rebound gathering pace says outgoing ceo,positive
borealis infrastructure putting together new severn trent bid,positive
weir group sees continued fall in orders from oil and gas business,negative
unilever posts weaker than expected fourth quarter,negative
astrazeneca investment eats into profit,negative
astrazeneca heart drug boosted by major clinical trial success,positive
glencore sells shares to raise $2 5 billion and reduce debt,positive
l&g fund arm nikko asset management sign bond fund distribution deal,positive
earnings surge as fund manager schroders reports a record year,positive
arm shrugs off smartphone slowdown as newer designs win share,positive
standard life impresses as fee based products offset annuities slump,positive
us cancels arctic offshore lease sale after shell drops interest,negative
astrazeneca sells us drug rights to perrigo for $380 mln,positive
update 1 britain s tullow says makes new oil find in kenya,positive
saudi aramco shell plan to break up motiva divide up assets,negative
intercontinental exchange opts not to bid for london stock exchange,negative
britain s ftse hits three week low as financials tesco fall,negative
glencore launches refinancing of credit line,positive
tesco closes in on new chairman with dixons carphone s john allan in the frame,positive
ftse 100 movers: bg group leads the charge as resource stocks jump,positive
companiesab inbev signals it won t go hostile for sabmiller,positive
chipotle sales plunge as troubled chain gets federal subpoena,negative
philippines san miguel says to partner with kirin if it bids for sabmiller s,positive
renewed ab inbev bid for sabmiller ups stake in beer battle,positive
nyse owner ice considers offer for lse,positive
update 1 uk to start selling remaining royal mail shares,negative
cuadrilla chief francis egan: scaremongering fracking opponents make me angry,negative
companiestesco bumps up pay for store staff,positive
stanchart announces $5 1 billion capital raising plan posts q3 loss,negative
standard life hit by unprecedented number of calls on pension freedoms,negative
bhp billiton slashes dividend posts $5 67 billion net loss,negative
us walrus protections hit shell s arctic drilling plan,negative
glaxo s viiv healthcare signs china manufacturing deal with desano,positive
intercontinental hotels denies reports of starwood merger talks,negative
entertainment one dispels itv takeover rumours,positive
stakes high for astrazeneca heart drug facing tough competition,negative
marketsus industrials lag as barclays dims view,negative
aviva plans to up pay out ratio says too soon to judge brexit impact,positive
shell challenges exxon dominance with 47 billion pound bid for bg,positive
glaxosmithkline s ceo witty to bow out in march 2017,negative
oil giant shell to cut around 2800 jobs amid bg takeover,negative
australia clears ab inbev s $100 billion sabmiller buyout plan,positive
britain s ftse eyes 7th straight daily rise; wolseley lags,negative
helge lund moves to bg a month early,positive
sse faces profiteering accusations despite 5 3 cut in gas charges,negative
marketsubs goldman sachs cut metals forecasts,negative
bhp billiton says no settlement yet on brazil dam disaster,negative
glencore shares rally after miner hits back,positive
us sanctions put gazprom shell alliance plans in jeopardy,negative
aggreko says first half profits will be lower as the oil price rout claims its latest victim,negative
shell offers 50 percent premium to buy bg for $70 billion,positive
astrazeneca weighing up acerta bid to secure blood cancer drug,positive
brief legal & general s retirement business books 4 billion stg h1 sales,positive
sab s chairman digs in with board divided on inbev offer,positive
are arm holdings plc domino s pizza group plc and asos plc 3 must have growth stocks,neutral
update 2 prudential will see strong first half earnings outgoing ceo says,positive
cuadrilla and protesters await lancashire fracking decision,negative
lloyds banking group eyes return to dealmaking with mbna bid,positive
new york says barclays not cooperating in dark pool probe,negative
shell s $70 billion bg deal meets shareholder skepticism,negative
shell shells out over nigeria oil spill,negative
tesco leads leap in ftse 100; marks & spencer drops,positive
royal mail needs to deliver on modernisation plans post haste,negative
domino s pizza worker sacked after crude slur aimed at customer on order screen,negative
u s debt lures schroders as ecb depresses rates,positive
aviva suspends trading in â£1 8bn uk property fund,negative
marketsshire up 2 5 and baxalta up 6 on $32bn deal,positive
aviva fined $27 million by u k regulator over fee failings,negative
uk winners & losers: aviva and friends life lead ftse 100 gainers,positive
retail giant kingfisher reports solid start to the year,positive
spain s caixabank expects to close deal for banco bpi,positive
ab inbev to sell more sab assets as seeks eu deal approval,negative
old mutual to split up may list some businesses,positive
persimmon sees post election pick up,positive
petrofac books further â£30m cost for shetland gas terminal delays,negative
british government stake in lloyds banking group fa,negative
u k shares extend rebound for second day as easyjet surges,positive
weir group offloads two renewables units,positive
intercontinental hotels group share price climbs on $1 5bn special dividend,positive
rbs invites pitches for broker role ahead of privatisation sources,positive
exxon beaumont cdu overhaul to be slowed by accident: sources,negative
companiesdeutsche taps ex stanchart executive for audit role,neutral
industry newsstrong results at travis perkins marred by plumbing impairment,negative
sainsbury cfo rogers to replace home retail ceo walden,neutral
rpt uk supermarkets braced for battle as tesco comes out fighting,positive
companiesroyal mail swerves new pricing regulations,negative
london morning briefing: hsbc and standard chartered shares rise,positive
sainsbury s asda tesco and morrisons will all cut petrol prices as oil falls,negative
ftse ends lower on weaker miners tesco outperforms,positive
barclays launches first 100 mortgages since crisis,positive
why i d buy arm holdings plc and bhp billiton plc today,positive
ftse hits three week low as financials tesco fall,negative
ftse 100 moves lower but hsbc outperforms,positive
euro zone qe helps standard life first quarter funds boost,positive
barclays says has spent $150 million on us living will,negative
shell to lay off another 2200 staff,negative
us doj antitrust unit subpoenas mylan over pricing of doxycycline,negative
jim armitage: spare no tears as glencore s bosses are paying such a small price,negative
tesco to axe 10000 jobs in simplification drive to cut costs by 30 per cent,positive
fresnillo production surges but profit hit by lower prices,positive
intercontinental hotels starwood held early deal talks ft,positive
unilever finds growth more elusive as sales meet estimates,positive
5 years after bp spill: what s changed in offshore drilling,negative
rpt update 2 former jefferies trader litvak s conviction overturned,positive
buffett s berkshire delivers 9 8 profit growth,positive
shell to go ahead with petrochemical plant in pennsylvania,positive
abn amro: bank that brought down rbs poised for return to the market,positive
tesco loses two more directors as garfield and tammenoms step down,negative
intertek group announces strategic update outlining its plan,positive
bp wins right to appeal some gulf spill damages claims,positive
companieshome retail trims gains but is considered in play,positive
deals help shrink glencore s mountain of debt,positive
whitbread to hike prices to offset substantial national living wage bill,negative
former barclays traders stand trial in libor case,negative
conagra names former hillshire farms ceo connolly to top post,positive
legal & general arm buys 50 pct stake in mediacityuk in manchester,positive
shire offers to buy baxalta for $30 billion,positive
britain s ftse slips from 2016 high as sky falls,negative
london stock exchange shareholders vote on merger deal under brexit cloud,negative
kingfisher takeover of mr bricolage could hit a brick wall,negative
bg group appoints new ceo one month early,positive
hsbc appoints business leaders to board,positive
astrazeneca share price: company to carve out antibiotic r&d unit into separate,positive
update 2 easyjet sees better first half on lower fuel bill,positive
tesco chief excutive dave lewis sees encouraging signs despite profits tumble,positive
press: pearson set to announce sale of financial times reuters,positive
diageo share price: group issues half year update,neutral
lloyds is cutting more than 600 jobs and shutting 21 branches,negative
royal bank of scotland fortunes ebbed and flowed under 3 chiefs,neutral
centrica suffers protest from shareholders over pay,negative
canadian pension fund borealis renews pursuit of severn trent : report,positive
companiesshell sells stake in showa shell sekiyu for $1 4bn,negative
easyjet attracts more passengers in june but still lags ryanair,positive
tesco says uk store closures put 2000 jobs at risk,negative
goodwin not to face scottish prosecution over rbs,positive
barclays not convinced by gains in south african stocks: chart,negative
british american tobacco drops and sues pwc over pollution scandal,negative
morning agenda: shire s deal for nps,positive
companieslse adds ex sec head schapiro to board,positive
silicon fen champion brings exacting approach to rolls royce,positive
sale of tesco s clubcard business to wpp on the verge of collapse,negative
wpp world s largest ad agency reports strong 2015 growth,positive
is trouble brewing at legal & general group plc and aviva plc,negative
uk s ftse climbs to record closing high as standard chartered surges,positive
shire sees baxalta deal closing as expected after new rules,positive
old mutual faces backlash over â£9m chief exec payout plan,negative
update 2 exchanges barclays win dismissal of us high frequency trading case,positive
irish said chasing standard chartered rbs as brexit vote nears,positive
glencore raises $2 5bn through share placing to help cut debt load,positive
lloyds will cut 640 jobs close 23 branches as part of 2014 plan,positive
bhp billiton half year profit falls beats forecasts,positive
barclays to speed up cost cuts after new mis selling hit,negative
shell ceo van beurden s remuneration fell in 2015,negative
are aviva plc direct line insurance group plc and admiral group plc set to soar,positive
verizon and at&t accused of hurting rivals,negative
hargreaves lansdown says first quarter assets hit by stock market flux,negative
update 1 oil major bp freezes pay in 2015 to cut costs,negative
stanlife leads ftse after strong earnings,positive
novartis buys remaining rights to gsk treatment in deal up to $1 billion,positive
tesco share price down as grocer faces sfo investigation outcome,negative
staley to face challenges at barclays,negative
update 1 berkshire applies to boost wells fargo stake above 10 pct,positive
update 1 uk government would oppose any takeover of bp ft,negative
tesco leads ftse higher on clubcard bid reports,positive
randgold profit hit by poor gold price but dividend still increases,negative
experian says receives class actions related to t mobile breach,negative
bp seeks to get back some gulf oil spill business payouts,positive
barclays poised to replace sir mike rake as he heads for exit,positive
fears primark growth is starting to falter,negative
aberdeen am posts h1 outflows says conditions to remain challenging,negative
tata steel working with stanchart for uk unit sale source,positive
tesco versus sainsbury: weight watcher vs bodybuilder,positive
astrazeneca profit down as sales of stalwarts fade,negative
hargreaves lansdown share price falls as costs mount although pensions,negative
london stock exchange shareholders approve merger with deutsche bã¶rse,positive
diageo sells ryder cup venue gleneagles hotel to ennismore group,positive
shell chevron await lng s return from pause mode,positive
why shell cut ties to conservative lobby group over climate change,neutral
reed elsevier shares cool after profit dip,negative
press: serco set to appoint roy gardner ex centrica as chairman ft,positive
tullow oil suspends dividend amid oil price fall,negative
cost savings help robinsons maker britvic to first half profit,positive
bp sees q1 earnings slide as low oil prices take their toll,negative
unilever returns to cuba in joint venture with state,positive
uk lawmakers warn royal mail against further price hikes,negative
the sustainability of royal dutch shell s dividend,neutral
industry newsg4s makes positive start to year no new impairments,positive
astrazeneca acquires zs pharma in $2 7 billion deal,positive
companiestravis perkins lifts dividend earnings rise 15,positive
astrazeneca wins fda approval for key new lung cancer pill,positive
industry newshammerson joint venture buys dublin loan portfolio,positive
barclays says not been offered deferred prosecution deal by sfo,positive
warren buffett s berkshire hathaway quarterly profit jumps almost one third,positive
eu regulator backs approval for gsk injectable asthma drug,positive
companieskingfisher bid for mr bricolage runs into trouble,negative
centrica extends gas deals with gazprom statoil,positive
pearson lags as uk s ftse slips off record high,negative
rbs pays $1 7 billion to scrap u k treasury s dividend rights,positive
sse share price: peterhead station to supply voltage support to national grid,positive
bp reports $583 million loss in first quarter,negative
bae systems banks on us defence spending to fix sales slide,negative
barclays ceo poaches risk head from jp morgan,negative
glaxosmithkline heart drug flops in study shingles vaccine on track,negative
rbs bosses ordered to go out and meet small firms,positive
astrazeneca sells rights to anaesthetics to south africa s aspen,positive
update 1 astrazeneca sells rare cancer drug to sanofi for up to $300 mln,positive
glaxosmithkline beats profit forecasts despite advair hit lower margins,positive
news feedftse 100 movers: ashtead jumps on strong interims; glencore bp in,positive
ab inbev offers to sell some sabmiller brands,positive
shell to buy bg group in $69 7 billion takeover,positive
ceo of berkshire s gen re to retire; jain s role grows,negative
wolseley share price: group updates on quarterly performance,neutral
shell targets gains from brazil to lng with takeover of bg group,positive
prudential financial quarterly profit rises 64 pct,positive
barclays ceo staley says brexit slump caused by profit fears,negative
bp joins forces with det norske in norway,positive
ab inbev s latest bid said unlikely to win sabmiller s approval,positive
four ex barclays bankers sentenced for roles in libor rate rigging scandal,negative
should you follow berkshire hathaway into apple stock,positive
reluctant shareholder george osborne loses patience with rbs,negative
bg group still happy with shell s $70 billion offer,positive
european shares plunge roiled by bhp and oil; hopes turn to ecb,negative
centrica prepared for takeover approach chairman,positive
hammerson jv partner secure ownership of ireland s dundrum quick facts,positive
bp s fine for 2010 oil spill capped at $13 7 billion,negative
google fiber to buy webpass for big city internet service,positive
us judge rules that bp spill smaller than feared,positive
kraft cadbury s and britvic in total recall: how pulling a product affects profit,negative
britain s ftse advances as royal mail rises,positive
prudential shares halted in hong kong pending announcement,negative
refile aviva investors to move 34 bln euros in assets from axa fund arm,negative
morrisons finance chief to fill gap as ceo leaves early,negative
bhp billiton to lower copper production costs,positive
aberdeen to raise 100 mln stg to seed new funds,positive
ice said to start lining up financing for lse bidding war,positive
standard chartered shares jump most since 12 after upgrades,positive
travis perkins hikes dividend 20 as profit and revenue rise,positive
payout from bp oil spill settlement tops $5 billion,negative
buzz bg group: outperforms sector after record output,positive
glencore sees tripoli based noc as sole legal seller of libyan oil,positive
update 1 bhp billiton s credit ratings fragile in fy16 agencies warn,negative
sanofi poaches astrazeneca scientist as new research head,positive
hargreaves landown slides on trading update,negative
itv share price: group mulls takeover of canada s entertainment one,positive
companiesex city watchdog turner joins prudential board,neutral
rbs share price: group plans to slash 600 jobs,negative
companiesaberdeen asset mgt reports 10th consecutive quarterly outflows,negative
astrazeneca digs into precision medicine with lung heart deals,positive
hsbc hit by fresh details of tax evasion claims,negative
royal mail hands chief executive moya greene a 13 rise in her pay package,positive
tullow oil eyes lower earnings as output falls,negative
insurer old mutual picks standard bank s hemphill as new ceo,positive
government to sell off remaining 14 stake in royal mail,negative
british taxpayers stake in lloyds falls below 22 percent,negative
fca set to fine lloyds record â£100m over ppi,negative
barclays said to cut 150 at investment bank as mccormick departs,negative
rbs breaks with past by tearing investment bank apart,negative
britain s ftse rises led up by glencore surge,positive
australian mining slowdown hits aggreko,negative
glencore sells agriculture stake for $2 5bn,positive
report: financial times up for sale,negative
dyson wants to create a hair dryer revolution,positive
morrisons and debenhams surprise city with christmas bounce back,positive
nine banks including barclays citi agree to pay $2 billion to settle forex,negative
questor share tip: mondi shares jump 10pc on strong start,positive
merged lse and deutsche bã¶rse would be led by germany s kengeter,positive
bp shares tumble after $2 2bn fourth quarter loss,negative
rbs becomes a shadow of its former self,negative
barclays hit with record fine as six banks settle forex scandal,negative
no pay hikes this year at rio tinto as mining slump bites,negative
rio tinto ceo sam walsh rejects fears over china growth demand,positive
johnson matthey revs up on clean air drive,positive
berkshire shareholders pepper warren buffett with some hard questions,negative
berkshire bought apple stake at $99 49 a share filing shows,positive
uk government cuts stake in lloyds to below 11 percent,negative
tesco rebounds as buyers sense a bargain,positive
eurozone bank lending continues to recover slowly barclays says,positive
update 3 buffett s berkshire raises oil bet with kinder morgan stake,positive
reaching new depths: glencore s $5bn loss,negative
glencore swings to loss will sell more assets,negative
closely watched astrazeneca cancer drug fails in mesothelioma,negative
shire share price: group releases full year results,positive
top news: barclays profit depressed by foreign exchange provisions,negative
osborne extends lloyds sell off plan,negative
meggitt share price tumbles as profit falls in challenging year,negative
industry newspetrofac secures $250m north sea contract,positive
bp asks for lower fine in penalty phase of gulf spill trial,negative
bpi says caixabank isabel dos santos reach agreement over angola exposure,positive
update 6 royal dutch shell pulls plug on arctic exploration,negative
britain s ftse buoyed by admiral building sector gains,positive
after barclays and bank of america citigroup has blockchain in sight,positive
intertek hit by pound strength oil & gas slowdown; still ups dividend,negative
tesco to close remaining homeplus stores in uk,negative
news feedschroders books solid earnings growth several board changes,positive
astrazeneca s medimmune inks licensing deal with omnis pharmaceuticals,positive
fca bans former rbs libor submitter,negative
press: hsbc chairman hints bank may retain uk domicile tel,positive
national grid s pretax profit rises 15 percent,positive
bp set to cut hundreds of jobs at north sea operations,negative
fda approves astrazeneca drug for advanced lung cancer,positive
tesco to pay â£8m to settle class action lawsuit after accounting scandal,negative
despite sales growth uk s tesco cautions recovery to be bumpy,negative
amazon to attack uk grocery market with morrisons deal,positive
itv to pursue takeover of canada s entertainment one: bloomberg,positive
companiespound to boost abf for now but mixed impact ahead,positive
uk s osborne may sell state owned rbs shares at a loss paper,negative
analyst views: astrazeneca shares have seen recent volatility; what will 2015,negative
ihg agrees $938 sale of intercontinental hong kong,positive
caixabank dos santos agree on plan for bpi angola exposure,negative
meggitt acquires cobham advanced composites unit for usd200 million,positive
bp to pay investors $175m over gulf spill claims,negative
easyjet traffic hit by air traffic controller strikes and terrorism,negative
press: uk government would oppose any bp takeover ft,negative
fastjet slams easyjet founder stelios for going public is taking legal advice over letter about contractual,negative
glencore fight back over debt fears lifts shares,positive
associated british foods helps ftse to rebound,positive
greenpeace protest of bp forces british museum to close,negative
novo nordisk and astrazeneca seek tonic from key drug trials,positive
beach holiday demand helps lift clouds for easyjet,positive
wolseley says nicholls won t join as finance chief,negative
sophos aims to raise $100m in london ipo,positive
tushar morzaria is bookies favourite to be new barclays chief executive,neutral
morrisons share price: founder s son to assist ceo with turnaround,positive
update: peter long to be chairman of both royal mail and tui ag,neutral
press: us high frequency lawsuit against barclays dismissed reuters,positive
astrazeneca s patent on asthma drug invalidated by us court,negative
barclays settles with us investors over libor manipulation,positive
ackman in email says supports valeant ceo pearson,positive
ge to sell majority stake in bank bph s core bank to alior bank,positive
update 1 gsk linked investigator freed early from china jail source,positive
sports direct shares tumble as founder ashley sells shares,negative
shropshire and mid wales trains to be hit again in new strike by arriva drivers,negative
gkn to buy fokker technologies for 706 mln euros,positive
astrazeneca s $727 million play to do away with chemotherapy,positive
unilever continues to battle soft demand,negative
hsbc preparing job cuts that may target 20000 workers sky says,negative
trlpc crh backs lafarge holcim asset buy with 6 5 bln euro bridge loan,positive
moves ex shadow minister mcclymont joins aberdeen asset management,positive
centrica share price: british gas under fire despite 5 price cut,negative
update 5 sabmiller rejects ab inbev s $104 bln takeover approach,negative
lloyds banking group to cut 640 jobs and close 23 branches,positive
marketsproperty stocks under pressure after standard life fund move,negative
bloomberg buys barclays benchmarking business,positive
broker tips: rbs croda sage,positive
london stock exchange group s quarterly revenue rises 12 percent,positive
update 1 glencore flags sale of some australia chile assets,positive
lloyds bank is said to face potential fine over handling of insurance complaints,negative
royal bank of scotland becomes facebook customer,positive
meggitt plc crashes 20 on profit warning: is it now a buy,negative
bhp billiton posts big loss slashes dividend,negative
companiessmith & nephew flops 6 8 to foot of ftse 100,negative
rio tinto swings to loss drops dividend policy,negative
philip morris bat sue over law taking branding off packs,negative
sse to shut coal fired plant amid shift to gas renewable energy,positive
bhp s iron ore outlook holds little cheer for small miners,negative
update 3 stifel to buy former lehman brokerage from barclays,positive
severn trent profit offsets interest rate swap losses,positive
sunday papers: shire told to raise its offer by baxalta investors,positive
barclays raises 603 million pounds from african business share sale,positive
activist fund tci backs german takeover of london stock exchange,positive
diageo shares surge on report of possible takeover by lemann,positive
industry newswolseley confident in reslilience amid mixed markets,positive
can christmas save sainsbury s plc and tesco plc,negative
hsbc standard chartered lead asia bank rout as u k votes out,negative
south africa approves sabmiller coke bottling deal with conditions,positive
diageo offloads major wine interests,negative
glaxosmithkline hails progress with lung disease treatment,positive
update 2 ab inbev launches sab bid to sell millercoors stake,negative
insight britain s bank tax jump threatens to push hsbc stanchart to new home,negative
astrazeneca explores potential deal with acerta for cancer drug,positive
norway s sovereign wealth fund says backed shell ceo s pay,positive
companiesuk government lines up â£2bn lloyds retail share sale,negative
britain s ftse led lower by itv william hill,negative
tesco sales deteriorate ahead of crucial christmas period,negative
barclays bonds rise as lender cuts dividends to shore up capital,positive
astrazeneca share price: acerta deal pays off with orphan drug status,positive
tsb boss: current account switching must be simpler,negative
u k stocks resume gains to rally to record; crh tullow climb,positive
intertek profit up 16 1 ; expects to meet forecast,positive
bae systems s sales boosted by european typhoon and currencies,positive
bunzl backs 2015 view buys more businesses,positive
blueprint receives fda nod to proceed with clinical trials for 2 drug,positive
companiesunilever sales lifted by ice cream in soft economy,positive
do it for me trend underpins uk sales growth at kingfisher,positive
shire says internal synergy goals from baxalta deal higher,positive
update 1 nomura rbs must pay $806 mln in mortgage bond case us judge,negative
wpp boosts sales despite cautious clients,positive
drugmaker shire to buy baxalta for $32 billion after 6 month pursuit,positive
talktalk hires bae systems to investigate cyber attack,positive
lse group names former sec head schapiro non executive director,positive
gsk hopes big clinical trial can breath new life into lung drug,positive
cuadrilla files to delay application to frack in lancashire,negative
update 3 ex barclays director accused by us of illegal tips to plumber,negative
clydesdale bank hit with record ppi fine for unacceptable staff lies,negative
dixons carphone says cyber attack may have exposed customers data,negative
update 1 shire takes q2 earnings pain for long term gain,negative
easyjet dismisses lufthansa low cost plan in contest for germany,negative
commentopening quote: tesco; premier foods jilted; fca on ipos,neutral
aspen to buy anaesthetics from astrazeneca for $520 million,positive
weir leads ftse lower after oil price profits warning,negative
update 5 barclays chairman mcfarlane axes ceo to speed up strategic change,negative
astrazeneca : fda panel reviews savor study results for onglyza,positive
arm royalties accelerate as smartphone market regains strength,positive
bunzl delivers small profit increase for 2014,positive
companiesdiageo stays neutral on india boardroom turmoil,neutral
sainsbury s says to outperform rivals in tough market,positive
what it takes for royal dutch shell to break even,neutral
here s my 10 point plan to make tesco great again,positive
glencore 2014 profit in line takes $1 1 billion charge on commodity prices,positive
johnson matthey profit lifted by metals unit sale,positive
warren buffett s berkshire adds to favorites ibm wells fargo,positive
intercontinental hotels denies exploring sale or merger,neutral
rio tinto announces long delayed expansion of mongolia mine,positive
uk government cuts stake in lloyds to below 11 pct,negative
morrisons faces festive sales test,negative
rbs lloyds most exposed to commercial property jpmorgan says,negative
why i would put j sainsbury plc in my trolley before wm morrison supermarkets,negative
barclays bad bank chief to step down,negative
aviva shuts friends life head office in rapid integration move,negative
shares in easyjet fall to three year low after brexit profit warning,negative
gsk aims to file up to 20 new drugs for approval by 2020,positive
itv share price jumps on report of comcast s nbcuniversal bidding to takeover,positive
lawmakers worry ab inbev beer deal will hurt craft brewers,negative
royal mail share price: postal service issues trading update,negative
citigroup to sell onemain to springleaf for $4 25 billion,positive
protesters gather in seattle to block access to shell oil rig,negative
clydesdale bank h1 profits weighed down by ppi charge,negative
barclays reports 8 fall in annual profits,negative
britain s power supplies enough to meet winter demand national grid,positive
