headline,label,lm_positive_words,lm_negative_words,detected_entities,detected_directional_words,senti_dd_pos_pairs,senti_dd_neg_pairs,senti_dd_score,senti_dd_prediction,correct
according to the finnish russian chamber of commerce all the major construction companies of finland are operating in russia,neutral,[],[],"['company', 'construction']",[],[],[],0,neutral,True
the company s set of services include digital printing printing preparation offset printing after treatment services and send out services,neutral,[],[],['company'],[],[],[],0,neutral,True
france t+®l+®com spent more time studying teliasonera than other potential takeover targets because it has a shareholder that wants to sell pellissier said,neutral,[],[],[],[],[],[],0,neutral,True
the fair value of the company s investment properties grew to eur 2 803 billion at the end of march 2009 from eur 2 691 million a year ago,positive,[],[],"['eur', 'investment', 'value', 'company', 'end', 'year']",[],[],[],0,neutral,False
as part of the agreement aspocomp will also give meadville a 10 pct slice of a subsidiary operating in oulu finland,neutral,[],[],[],[],[],[],0,neutral,True
the value of the contract is in total usd12m,neutral,[],[],"['contract', 'value']",[],[],[],0,neutral,True
operating margin however slipped to 14 4 from 15 1 dragged down by a poor performance in enterprise solutions,negative,[],['poor'],"['margin', 'solution']",['down'],[],"['solution_down', 'margin_down']",-3,negative,True
in the baltic countries sales fell by 40 2 and in russia by 23 2 in terms of euros and by 10 7 in terms of local currency,negative,[],[],['sale'],['fell'],[],['sale_fell'],-1,negative,True
for 2009 net profit was eur 3 million and the company paid a dividend of eur 1 30 apiece,neutral,[],[],"['eur', 'net', 'profit', 'company']",[],[],[],0,neutral,True
in a letter to economic affairs minister the listed estonian shipping company tallink asks for the approval to be entitled to a 15 cut in port fees in 2010,neutral,[],['cut'],['company'],[],[],[],-1,negative,False
tiimari operates 194 stores in six countries including its core finnish market and generated a turnover of 76 5 mln eur in 2005,neutral,[],[],"['eur', 'turnover', 'mln']",[],[],[],0,neutral,True
sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects,positive,['strong'],[],"['eur', 'sale', 'volume', 'mln']",['rose'],"['mln_rose', 'eur_rose', 'sale_rose', 'volume_rose']",[],5,positive,True
the contract is worth some eur 1 million,neutral,[],[],"['eur', 'contract']",[],[],[],0,neutral,True
finnish bank of +àland reports its operating profit fell to eur 4 9 mn in the third quarter of 2007 from eur 5 6 mn in the third quarter of 2006,negative,[],[],"['eur', 'report', 'quarter', 'profit', 'mn']",['fell'],[],"['mn_fell', 'profit_fell', 'report_fell', 'eur_fell', 'quarter_fell']",-5,negative,True
ebit excluding non recurring items was estimated to increase from 2009,positive,[],[],['item'],['increas'],['item_increas'],[],1,positive,True
the group s business sectors are building construction infrastructure construction technical building services and building products,neutral,[],[],"['product', 'group', 'construction', 'business']",[],[],[],0,neutral,True
diluted earnings per share eps stood at eur 0 25 versus eur 0 42,negative,[],[],"['eur', 'share']",[],[],[],0,neutral,False
the met is located in the central business district cbd of bangkok,neutral,[],[],['business'],[],[],[],0,neutral,True
ebit margin was up from 1 4 to 5 1,positive,[],[],['margin'],['up'],['margin_up'],[],1,positive,True
neste oil will publish its third quarter 2008 results on friday 24 october 2008 at approximately 9 am eet,neutral,[],[],"['quarter', 'result']",[],[],[],0,neutral,True
eur 220 million of the transaction consideration was paid in the form of four year interest bearing vendor notes,neutral,[],[],"['eur', 'year', 'interest']",[],[],[],0,neutral,True
the aim is an annual improvement in ruukki construction s operating profit of more than eur 3 million usd 4 1 m starting in 2009,positive,['improvement'],[],"['eur', 'profit', 'construction']",[],[],[],1,positive,True
according to the company a decision in the issue will be made in the summer of 2010 at the earliest and in the summer of 2011 at the latest,neutral,[],[],['company'],[],[],[],0,neutral,True
mercator will use the software for its logistic retail and wholesale operations in slovenia and its other markets in southeastern europe,neutral,[],[],[],[],[],[],0,neutral,True
profit for the period was eur 5 9 mn up from eur 1 3 mn,positive,[],[],"['eur', 'profit', 'period', 'mn']",['up'],"['eur_up', 'period_up', 'profit_up', 'mn_up']",[],4,positive,True
due to the rapid decrease in net sales personnel reductions have been carried out on a wider scale than initially expected,negative,[],[],"['net', 'sale']",['decreas'],[],"['net_decreas', 'sale_decreas']",-2,negative,True
very recommendable is the nokian z g2 according to the adac judgement in the latest summer tyre test of the german automobile association adac,positive,[],[],[],[],[],[],0,neutral,False
by 14:29 cet on monday shares in bavarian nordic had climbed 1 21 to dkk250 on the stock exchange in copenhagen after having lost 7 41 in the past month,positive,[],['lost'],"['month', 'share']",['climb'],"['month_climb', 'share_climb']",[],1,positive,True
related links : flexiblebaseloadoperation thewartsila32generating set gasconversions this is the shorter of two versions of this press release,neutral,[],[],[],[],[],[],0,neutral,True
the divested activities had net sales of eur 145 1 million in 2009 and an operating profit of eur 8 9 million,neutral,[],['divested'],"['eur', 'net', 'sale', 'profit']",[],[],[],-1,negative,False
through the nordic exchange omx offers access to approximately 80 percent of the nordic and baltic securities market,neutral,[],[],['percent'],[],[],[],0,neutral,True
sanoma also has an executive committee in accordance with the company s articles of association that prepares proposals for matters to be decided or noted by the board of directors,neutral,[],[],['company'],[],[],[],0,neutral,True
the chain posted sales of 298 million euros for full 2005 a rise of 19 5 percent year on year,positive,[],[],"['sale', 'percent', 'year']",['rise'],"['sale_rise', 'year_rise', 'percent_rise']",[],3,positive,True
stora is due to release its fourth quarter and 2009 full year earnings on feb 4,neutral,[],[],"['quarter', 'year']",[],[],[],0,neutral,True
ionphase s second major owner is venture capital firm aura capital,neutral,[],[],['capital'],[],[],[],0,neutral,True
stockholm based nordea bank sto : nda said yesterday it had hired casper von koskull to lead its corporate merchant banking and capital markets unit effective 1 september,neutral,['effective'],[],"['september', 'capital']",[],[],[],1,positive,False
delivery is expected to take place later this month,neutral,[],[],['month'],[],[],[],0,neutral,True
consolidated pretax profit decreased by 69 2 to eur 41 0 mn from eur 133 1 mn in 2007,negative,[],[],"['eur', 'profit', 'mn']",['decreas'],[],"['mn_decreas', 'eur_decreas', 'profit_decreas']",-3,negative,True
initial estimated total value of the contract was 250 000 euros excluding vat,neutral,[],[],"['contract', 'value']",[],[],[],0,neutral,True
aldata said that there are still a number of operational aspects to be defined between it and microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date,neutral,[],[],['product'],[],[],[],0,neutral,True
the studies are expected to start in 2008,neutral,[],[],[],[],[],[],0,neutral,True
marimekko operates in an industry in which changes in the business climate are reflected in consumer demand,neutral,[],[],"['demand', 'business']",[],[],[],0,neutral,True
halonen s office acknowledged receiving the letter but declined comment,neutral,[],['declined'],[],['declin'],[],[],-1,negative,False
the loss for the third quarter of 2007 was eur 0 3 mn smaller than the loss of the second quarter of 2007,positive,[],['loss'],"['eur', 'quarter', 'mn']",[],[],[],-1,negative,False
the solid fuel is heated before sludge is mixed therein,neutral,[],[],[],[],[],[],0,neutral,True
rosendal at outotec com eila paatela vice president corporate communications tel +358 20 529 2004 +358 400 817198 e mail eila,neutral,[],[],['communication'],[],[],[],0,neutral,True
most of the raw materials come from europe and the us and are paid in euros or us dollars while sales take place in rubles,neutral,[],[],['sale'],[],[],[],0,neutral,True
nokia multimedia s net sales totaled eur 5 7 bn up 45 from the corresponding period in 2005,positive,[],[],"['eur', 'net', 'sale', 'period']",['up'],"['eur_up', 'period_up', 'net_up', 'sale_up']",[],4,positive,True
finnish office supplies and computer accessories dealer beltton group plc said its net profit rose to 1 3 mln euro $ 1 7 mln in 2006 from 1 13 mln euro $ 1 5 mln in 2005,positive,[],[],"['net', 'profit', 'group', 'mln']",['rose'],"['net_rose', 'mln_rose', 'profit_rose', 'group_rose']",[],4,positive,True
however net sales in 2010 are seen to have grown to eur598 3 m from eur582 3 m in 2009,positive,[],[],"['net', 'sale']",[],[],[],0,neutral,False
the business units of the investlesprom group cover the full forest industry chain and the group owns forests sawmills paper and pulp mills and other processing plants,neutral,[],[],"['plant', 'group', 'paper', 'business']",[],[],[],0,neutral,True
enp newswire 22 march 2011 release date 21032011 a total of 13 000 talvivaara mining company plc s new shares were subscribed for during the period between 1 january 2011 and 28 february 2011 under the company s stock option rights 2007a,neutral,[],[],"['company', 'period', 'share']",[],[],[],0,neutral,True
we succeeded in increasing our market share of sold apartment comments mr kari kauniskangas head of yit international construction services,positive,['succeeded'],[],"['construction', 'share']",['increas'],['share_increas'],['construction_increas'],1,positive,True
operating profit for the three month period increased from eur1 2 m while revenue increased from eur20 2 m as compared to the corresponding period in 2005,positive,[],[],"['profit', 'month', 'revenue', 'period']",['increas'],"['revenue_increas', 'month_increas', 'period_increas', 'profit_increas']",[],4,positive,True
according to pkc the acquisition would bring a significant addition to pkc s customer base,positive,[],[],[],[],[],[],0,neutral,False
the finnish government announced wednesday that it sold a 32 percent stake in chemicals and fertilizer group kemira oyj for x20ac 655 6 million $ 890us million sending the company s share price up 6 percent,positive,[],[],"['percent', 'group', 'oyj', 'company', 'share']",['up'],"['share_up', 'oyj_up', 'group_up', 'percent_up']",['company_up'],3,positive,True
it will also strengthen ruukki s offshore business,positive,['strengthen'],[],['business'],[],[],[],1,positive,True
deliveries by outotec will take place over 30 months,neutral,[],[],['month'],[],[],[],0,neutral,True
operating profit decreased to nearly eur 1 7 mn however,negative,[],[],"['eur', 'profit', 'mn']",['decreas'],[],"['mn_decreas', 'eur_decreas', 'profit_decreas']",-3,negative,True
the value of the order is eur 4mn,neutral,[],[],"['eur', 'value', 'order']",[],[],[],0,neutral,True
from merisatama to the far corners of the world asfaltti osakeyhti+â lemmink+ñinen was established in 1910 by a group of master builders in helsinki as a specialist business and subcontractor,neutral,[],[],"['group', 'business']",[],[],[],0,neutral,True
the estimated value of the deal is usd 9 2 million,neutral,[],[],['value'],[],[],[],0,neutral,True
the acquired plant has an annual capacity of some 300 000 tonnes and most of its production is sold to domestic customers,neutral,[],[],['plant'],[],[],[],0,neutral,True
metsaliitto will sell 1 1 million b shares of neomarkka accounting for about 18 3 pct of neomarkka s equity and about 12 7 pct of the voting rights,neutral,[],[],['share'],[],[],[],0,neutral,True
sales of mid strength beer decreased by 40,negative,['strength'],[],"['beer', 'sale']",['decreas'],[],"['sale_decreas', 'beer_decreas']",-1,negative,True
analysts surveyed by thomson financial expected revenue of $ 69 million for the quarter,neutral,[],[],"['quarter', 'revenue']",[],[],[],0,neutral,True
timo penttila has been appointed new manager responsible for the asset management of nordea s institutional customers in finland,neutral,[],[],[],[],[],[],0,neutral,True
in the second quarter of 2010 the group s net profit rose to eur 3 1 million from eur 2 5 million in april june 2009,positive,[],[],"['eur', 'quarter', 'net', 'profit', 'group', 'june']",['rose'],"['eur_rose', 'june_rose', 'profit_rose', 'group_rose', 'net_rose', 'quarter_rose']",[],6,positive,True
we know there are some of our own people out there,neutral,[],[],[],[],[],[],0,neutral,True
adp news nov 13 2008 finnish printed circuit board pcb maker aspocomp group oyj omx : acg1v said today that its net loss narrowed to eur 2 million usd 2 5 m in the first nine months of 2008 from eur 57,positive,[],['loss'],"['eur', 'news', 'month', 'net', 'group', 'oyj', 'maker']",[],[],[],-1,negative,False
when dialing in the participants should quote 877417 as conference id,neutral,[],[],[],[],[],[],0,neutral,True
relations with the city have been further damaged by comments from mr ashley criticising city investors and analysts as cry babies,negative,[],['damaged'],[],[],[],[],-1,negative,True
the issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities,neutral,[],[],['sale'],['up'],['sale_up'],[],1,positive,False
earnings per share for the quarter were also higher year on year at 0 33 eur versus 0 27 and above market expectations of 0 28 eur,positive,[],[],"['eur', 'quarter', 'year', 'share']",['higher'],"['quarter_higher', 'eur_higher', 'share_higher', 'year_higher']",[],4,positive,True
both operating profit and net sales for the 12 month period increased respectively from eur10 5 m and eur28 8 m as compared to the financial year 2004,positive,[],[],"['sale', 'month', 'period', 'net', 'profit', 'year']",['increas'],"['year_increas', 'period_increas', 'net_increas', 'month_increas', 'sale_increas', 'profit_increas']",[],6,positive,True
in july it and quadriga capital sold their lewa gmbh pump making business to japan s nikkiso co,neutral,[],[],"['capital', 'business']",[],[],[],0,neutral,True
to see more of new haven register or to subscribe to the newspaper,neutral,[],[],[],[],[],[],0,neutral,True
helsinki afx shares closed higher led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets and by nokian tyres after its fourth quarter earnings report beat analysts expectations dealers said,positive,[],['closed'],"['quarter', 'report', 'share']","['higher', 'up']","['report_up', 'share_up', 'quarter_higher', 'report_higher', 'share_higher', 'quarter_up']",[],5,positive,True
the hosting mobile terminal guides information flow between itself the participating terminals and optionally with network servers that may assist the hosting mobile terminal,neutral,[],[],[],[],[],[],0,neutral,True
net sales dropped by 6 year on year to eur 11 9 million,negative,[],['dropped'],"['eur', 'net', 'sale', 'year']",['drop'],[],"['eur_drop', 'year_drop', 'sale_drop', 'net_drop']",-5,negative,True
alma media holds 70 of this company the remaining shares being owned by the company s key employees,neutral,[],[],"['company', 'medium', 'share']",[],[],[],0,neutral,True
the company which makes garden tools scissors and other consumer goods said earnings were boosted by 6 9 mln eur of income it received from its 16 7 pct shareholding in finnish engineering group wartsila,positive,['boosted'],[],"['eur', 'mln', 'income', 'group', 'company']",[],[],[],1,positive,True
this will bring cost savings of about eur 3mn a year,positive,[],[],"['eur', 'cost', 'year']",[],[],[],0,neutral,False
aker yards finland will begin using chinese subcontractors at its finnish shipyards,neutral,[],[],[],[],[],[],0,neutral,True
a replay will be available until 27 october 2006 in the following numbers : us callers : +1 617 á801 á6888 non us callers : +44 20 7365 8427 access code : 2659 5401,neutral,[],[],[],[],[],[],0,neutral,True
rautaruukki said construction group yit has awarded it a 2 5 mln eur contract to supply the steel structures for a new bridge spanning the kemijoki river in northern finland,positive,[],['bridge'],"['eur', 'mln', 'contract', 'group', 'construction']",['award'],"['contract_award', 'eur_award', 'mln_award', 'group_award']",['construction_award'],2,positive,True
the server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones,neutral,['enables'],[],[],[],[],[],1,positive,False
finnish media group talentum has issued a profit warning,negative,[],['warning'],"['profit', 'group', 'medium']",[],[],[],-1,negative,True
nwc analysis :,neutral,[],[],[],[],[],[],0,neutral,True
the company reported today an operating loss of eur0 1 m on net sales of eur4 5 m for the first quarter 2008,negative,[],['loss'],"['quarter', 'company', 'sale', 'net']",[],[],[],-1,negative,True
these moderate but significant changes resulted in a significant 24 32 reduction in the estimated cvd risk,positive,[],[],[],[],[],[],0,neutral,False
founded in 2000 bioview automates laboratory tests especially diagnostic tests for cancer,neutral,[],[],[],[],[],[],0,neutral,True
the plant will collect raw material from the baltic sea region,neutral,[],[],['plant'],[],[],[],0,neutral,True
ebitda for the year 2009 improved to eur484m as compared with eur472m in 2008,positive,['improved'],[],['year'],[],[],[],1,positive,True
vehvilainen who is currently the chief operating officer at nokia siemens networks will join finnair on 5 january 2010 and take over as ceo effective 1 february 2010,neutral,['effective'],[],[],[],[],[],1,positive,False
the eps outlook was increased by 5 6 pct for 2007 and 7 0 pct for 2008,positive,[],[],[],['increas'],[],[],0,neutral,False
the financial impact is estimated to be an annual improvement of eur2 0 m in the division s results as of fiscal year 2008,positive,['improvement'],[],"['year', 'result']",[],[],[],1,positive,True
advertising and circulation revenues grew by 3 4 and by 0 4 respectively,positive,[],[],['revenue'],[],[],[],0,neutral,False
revenue grew 12 percent to x20ac 3 6 billion us$ 4 5 billion,positive,[],[],"['revenue', 'percent']",[],[],[],0,neutral,False
the redesigned crushing circuit has been in operation since the start of september and its overall production rate on a weekly basis is in excess of an average of 40 000 tonnes a day,neutral,[],[],"['september', 'day']",[],[],[],0,neutral,True
london afx shares in rautaruukki corp have been upgraded to hold from sell by abn amro with the price target raised to 25 75 eur from 14 5 said dealers,positive,[],[],"['eur', 'share']",[],[],[],0,neutral,False
in the third quarter of 2007 net sales totaled eur 25 95 mn and operating profit eur 3 88 mn,neutral,[],[],"['eur', 'sale', 'quarter', 'net', 'profit', 'mn']",[],[],[],0,neutral,True
shares of standard chartered stan rose 1 2 in the ftse 100 while royal bank of scotland rbs shares rose 2 and barclays shares barc bcs were up 1 7,positive,[],[],['share'],"['rose', 'up']","['share_up', 'share_rose']",[],2,positive,True
finnish metal industry solutions supplier outotec oyj net profit rose to 50 4 mln euro $ 72 5 mln for the first nine months of 2007 from 20 1 mln euro $ 28 9 mln for the same period of 2006,positive,[],[],"['metal', 'month', 'mln', 'period', 'solution', 'net', 'profit', 'oyj']",['rose'],"['solution_rose', 'mln_rose', 'profit_rose', 'oyj_rose', 'month_rose', 'net_rose', 'metal_rose', 'period_rose']",[],8,positive,True
i am extremely delighted with this project and the continuation of cooperation with viking line,positive,['delighted'],[],[],[],[],[],1,positive,True
finnish pulp and paper machinery maker vaahto group oyj swung to a 1 1 mln euro $ 1 4 mln net profit in the fiscal 2005 06 ended august 31 2006 from a 249 000 euro $ 319 000 net loss in the fiscal 2004 05,positive,[],['loss'],"['mln', 'net', 'profit', 'group', 'paper', 'oyj', 'maker']",[],[],[],-1,negative,False
an eu law on the issue may be introduced around 2010,neutral,[],[],[],[],[],[],0,neutral,True
the company has the poser who wants to impress people with the latest handset,neutral,['impress'],[],['company'],[],[],[],1,positive,False
export declined by 6 percent to 16 4 million liters,negative,[],['declined'],"['liter', 'percent']",['declin'],[],"['liter_declin', 'percent_declin']",-3,negative,True
